time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,rollout/trapped_steps_mean,rollout/final_temperature_mean,rollout/trapped_end_fraction,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
5,31.25,304,52,-19.32314475,4,,,,,,,,,,,
7,36.25,432,56,-30.99288525,8,,,,,,,,,,,
9,35.75,584,59,-30.209271666666666,12,,,,,,,,,,,
11,36.4375,688,61,-27.619216249999997,16,,,,,,,,,,,
12,34.75,800,62,-24.910184949999998,20,,,,,,,,,,,
14,33.5,920,62,-23.154162250000002,24,,,,,,,,,,,
16,32.892857142857146,1032,63,-21.275652071428574,28,,,,,,,,,,,
18,33.09375,1176,64,-20.996195375,32,,,,,,,,,,,
20,33.333333333333336,1344,65,-20.79236752777778,36,,,,,,,,,,,
22,33.15,1480,66,-19.878272700000004,40,,,,,,,,,,,
24,34.13636363636363,1656,66,-21.21807290909091,44,,,,,,,,,,,
26,33.895833333333336,1760,66,-20.959901229166668,48,,,,,,,,,,,
28,33.81132075471698,1952,67,-22.030973849056608,52,,,,,,,,,,,
29,34.10344827586207,2024,67,-20.77587620689655,56,,,,,,,,,,,
31,33.68333333333333,2096,67,-20.079883049999996,60,17.25862068965517,0.0004896521612476386,0.0,,,,,,,,
32,33.03125,2208,67,-19.048547156250002,64,,,,,,,,,,,
34,32.705882352941174,2336,67,-19.01159216176471,68,,,,,,,,,,,
35,32.486111111111114,2440,67,-18.014032611111112,72,,,,,,,,,,,
37,32.15584415584416,2584,68,-17.652791337662332,76,,,,,,,,,,,
39,32.2625,2728,68,-18.073888912500003,80,,,,,,,,,,,
41,32.63095238095238,2864,68,-19.29063994047619,84,,,,,,,,,,,
43,32.71590909090909,3016,68,-18.6443625,88,,,,,,,,,,,
45,32.92391304347826,3144,68,-18.823662228260872,92,,,,,,,,,,,
47,32.833333333333336,3248,68,-18.887791343750003,96,,,,,,,,,,,
49,32.67,3368,68,-19.191562870000002,100,,,,,,,,,,,
51,32.65,3512,68,-19.11980403,104,,,,,,,,,,,
53,32.34,3640,68,-18.30466594,108,,,,,,,,,,,
54,32.07,3728,68,-17.599338319999998,112,,,,,,,,,,,
56,31.65,3864,68,-17.06415027,116,,,,,,,,,,,
57,31.69,3928,68,-17.183742090000003,120,,,,,,,,,,,
59,31.62,4120,68,-16.9629665,124,16.2,0.0005068451845742307,0.0,,,,,,,,
61,31.71,4216,68,-17.658734990000003,128,,,,,,,,,,,
63,31.49,4360,68,-17.681051770000003,132,,,,,,,,,,,
64,31.44,4440,68,-17.927409290000003,136,,,,,,,,,,,
66,31.33,4592,68,-17.74019016,140,,,,,,,,,,,
68,30.74,4720,68,-17.383062719999998,144,,,,,,,,,,,
70,31.28,4888,69,-17.69081776,148,,,,,,,,,,,
73,31.16,5072,69,-17.10707305,152,,,,,,,,,,,
74,31.42,5176,69,-18.111034150000002,156,,,,,,,,,,,
76,31.66,5256,69,-19.23908521,160,,,,,,,,,,,
78,32.0,5408,69,-19.60408115,164,,,,,,,,,,,
79,31.83,5544,69,-18.96798687,168,,,,,,,,,,,
80,31.86,5600,69,-19.638677050000002,172,,,,,,,,,,,
83,31.86,5760,69,-19.53735231,176,,,,,,,,,,,
84,31.53,5848,69,-18.772515820000002,180,,,,,,,,,,,
86,31.3,6024,69,-18.03073444,184,,,,,,,,,,,
88,31.2,6128,69,-18.6682633,188,,,,,,,,,,,
90,31.15,6256,69,-19.162582580000002,192,18.09090909090909,0.000490696050911037,0.0,,,,,,,,
92,31.07,6400,69,-19.06500852,196,,,,,,,,,,,
94,31.35,6544,69,-19.41652894,200,,,,,,,,,,,
